Experiment	LongTerm Data	
2.8501251E+2	-2.0430313E+2
2.8601260E+2	-2.1330141E+2
2.8701270E+2	-2.3952438E+2
2.8801279E+2	-2.2200180E+2
2.8901291E+2	-2.0893298E+2
2.9001300E+2	-2.3837234E+2
2.9101611E+2	-1.9836343E+2
2.9201318E+2	-2.1680353E+2
2.9301730E+2	-1.6604718E+2
2.9401239E+2	-1.9829025E+2
2.9501251E+2	-2.0261057E+2
2.9601260E+2	-1.9610799E+2
2.9701270E+2	-2.1396777E+2
2.9801279E+2	-1.9863824E+2
2.9901291E+2	-2.1074420E+2
3.0001300E+2	-1.4733461E+2
3.0101309E+2	-2.0521487E+2
3.0201318E+2	-1.9054816E+2
3.0301529E+2	-2.1590042E+2
3.0401340E+2	-2.1754520E+2
3.0501651E+2	-1.9407089E+2
3.0601361E+2	-2.1351062E+2
3.0701871E+2	-2.1177383E+2
3.0801379E+2	-1.9734666E+2
3.0901788E+2	-2.3044788E+2
3.1001401E+2	-2.1855292E+2
3.1101309E+2	-1.9064183E+2
3.1201318E+2	-2.0947168E+2
3.1301331E+2	-2.4613837E+2
3.1401340E+2	-2.4149776E+2
3.1501349E+2	-2.2439679E+2
3.1601361E+2	-2.3709116E+2
3.1701669E+2	-2.2137234E+2
3.1801379E+2	-2.0312341E+2
3.1901691E+2	-2.3311855E+2
3.2001401E+2	-2.4107310E+2
3.2101709E+2	-2.0363744E+2
3.2201419E+2	-1.7119101E+2
3.2301831E+2	-2.1133849E+2
3.2401440E+2	-2.4871230E+2
3.2501849E+2	-2.4848524E+2
3.2601459E+2	-2.6476828E+2
3.2701569E+2	-2.2893991E+2
3.2801480E+2	-2.0773352E+2
3.2901889E+2	-2.6756619E+2
3.3001401E+2	-2.3435785E+2
3.3101810E+2	-2.6186578E+2
3.3201419E+2	-2.4289290E+2
3.3301630E+2	-2.3846022E+2
3.3401440E+2	-2.2511586E+2
3.3501749E+2	-2.4836809E+2
3.3601459E+2	-2.2017628E+2
3.3701770E+2	-2.3269109E+2
3.3801480E+2	-2.4285159E+2
3.3901691E+2	-2.2672145E+2
3.4001498E+2	-2.2306137E+2
3.4101709E+2	-2.4305211E+2
3.4201520E+2	-2.2226277E+2
3.4301831E+2	-2.2061157E+2
3.4401541E+2	-2.3658768E+2
3.4501849E+2	-2.1642886E+2
3.4601459E+2	-2.5271175E+2
3.4701770E+2	-2.5664676E+2
3.4801480E+2	-2.4435027E+2
3.4901788E+2	-2.2146939E+2
3.5001498E+2	-2.5936588E+2
3.5101709E+2	-2.4369301E+2
3.5201520E+2	-2.4781842E+2
3.5301630E+2	-2.3651239E+2
3.5401541E+2	-2.4145932E+2
3.5501749E+2	-2.2141772E+2
3.5601559E+2	-2.3206555E+2
3.5701770E+2	-2.1994775E+2
3.5801581E+2	-2.6808575E+2
3.5901889E+2	-2.0388264E+2
3.6001599E+2	-2.9288376E+2
3.6101611E+2	-2.4158775E+2
3.6201620E+2	-2.5002681E+2
3.6301630E+2	-2.6257886E+2
3.6401541E+2	-2.5046759E+2
3.6501749E+2	-2.5385207E+2
3.6601559E+2	-2.2035503E+2
3.6701770E+2	-2.7512683E+2
3.6801581E+2	-2.7516757E+2
3.6901889E+2	-2.3446434E+2
3.7001599E+2	-2.4301172E+2
3.7101810E+2	-2.1964458E+2
3.7201620E+2	-2.2916014E+2
3.7301929E+2	-2.3775200E+2
3.7401639E+2	-2.3564061E+2
3.7501849E+2	-2.6865857E+2
3.7601660E+2	-2.1261423E+2
3.7701871E+2	-2.5413795E+2
3.7801678E+2	-2.5938934E+2
3.7901889E+2	-2.4387915E+2
3.8001700E+2	-2.7694070E+2
3.8101810E+2	-2.8904660E+2
3.8201620E+2	-2.6951364E+2
3.8301831E+2	-2.5079047E+2
3.8401639E+2	-2.5869986E+2
3.8501950E+2	-2.1000497E+2
3.8601660E+2	-2.6581885E+2
3.8701770E+2	-2.2154503E+2
3.8801678E+2	-2.6853882E+2
3.8901691E+2	-2.2593344E+2
3.9001700E+2	-2.1581490E+2
3.9101709E+2	-2.2137196E+2
3.9201721E+2	-2.3670839E+2
3.9301831E+2	-2.1606453E+2
3.9401740E+2	-2.2708652E+2
3.9501749E+2	-2.6882211E+2
3.9601761E+2	-2.3901401E+2
3.9701968E+2	-2.3473935E+2
3.9801779E+2	-2.5515701E+2
3.9901788E+2	-2.4503696E+2
4.0001700E+2	-2.6715527E+2
4.0101709E+2	-2.3778171E+2
4.0201721E+2	-2.4858873E+2
4.0301831E+2	-2.4788162E+2
4.0401740E+2	-2.7094785E+2
4.0501950E+2	-2.5948563E+2
4.0601761E+2	-2.8215955E+2
4.0701770E+2	-2.6773450E+2
4.0801779E+2	-2.8134610E+2
4.0901788E+2	-2.7209564E+2
4.1001801E+2	-2.7756705E+2
4.1101810E+2	-2.5480444E+2
4.1201819E+2	-2.5529993E+2
4.1301831E+2	-3.0298642E+2
4.1401840E+2	-2.7478104E+2
4.1502051E+2	-2.7637344E+2
4.1601761E+2	-2.9268195E+2
4.1701871E+2	-2.8251401E+2
4.1801779E+2	-2.7131812E+2
4.1901889E+2	-2.4150879E+2
4.2001801E+2	-2.6044147E+2
4.2101810E+2	-2.6044733E+2
4.2201819E+2	-2.5495811E+2
4.2301831E+2	-2.6032886E+2
4.2401840E+2	-2.4415636E+2
4.2501849E+2	-2.6412689E+2
4.2601859E+2	-2.7852240E+2
4.2701871E+2	-2.5665018E+2
4.2801880E+2	-2.7314398E+2
4.2901889E+2	-2.6716632E+2
4.3001901E+2	-2.6601056E+2
4.3101910E+2	-2.3497531E+2
4.3201920E+2	-2.5563486E+2
4.3301929E+2	-2.4902806E+2
4.3401840E+2	-2.8061505E+2
4.3501849E+2	-2.3549207E+2
4.3601859E+2	-2.4513722E+2
4.3701871E+2	-2.3898987E+2
4.3801880E+2	-2.5496913E+2
4.3901889E+2	-3.1194894E+2
4.4001898E+2	-2.4857986E+2
4.4102011E+2	-2.4640166E+2
4.4201920E+2	-2.8346463E+2
4.4301929E+2	-2.6857211E+2
4.4401941E+2	-2.5500117E+2
4.4501950E+2	-2.7545154E+2
4.4601959E+2	-2.9886240E+2
4.4701968E+2	-2.6999716E+2
4.4801981E+2	-2.9698337E+2
4.4901990E+2	-2.8422067E+2
4.5001999E+2	-2.5687027E+2
4.5101910E+2	-2.5368494E+2
4.5201920E+2	-2.5379005E+2
4.5301929E+2	-2.8139709E+2
4.5401941E+2	-2.9898456E+2
4.5501950E+2	-3.1743292E+2
4.5601959E+2	-2.8635049E+2
4.5701968E+2	-2.6541373E+2
4.5801981E+2	-3.1741425E+2
4.5901990E+2	-2.5916434E+2
4.6001999E+2	-2.9767294E+2
4.6102011E+2	-2.7575299E+2
4.6202020E+2	-3.1701205E+2
4.6302029E+2	-2.5971039E+2
4.6402039E+2	-2.9678766E+2
4.6502051E+2	-2.4014319E+2
4.6602060E+2	-2.7773694E+2
4.6702069E+2	-2.6813174E+2
4.6802078E+2	-3.0510144E+2
4.6901990E+2	-2.7338208E+2
4.7001999E+2	-2.5448712E+2
4.7102011E+2	-3.2501080E+2
4.7202020E+2	-3.1308456E+2
4.7302029E+2	-2.8747653E+2
4.7402039E+2	-2.9948181E+2
4.7502051E+2	-2.7815070E+2
4.7602060E+2	-2.9383597E+2
4.7702069E+2	-2.8926807E+2
4.7802078E+2	-2.9078284E+2
4.7902090E+2	-3.2304724E+2
4.8002100E+2	-3.2844788E+2
4.8102109E+2	-3.0058957E+2
4.8202121E+2	-2.8083575E+2
4.8302130E+2	-2.6616833E+2
4.8402139E+2	-2.6111115E+2
4.8502148E+2	-3.1162451E+2
4.8602060E+2	-2.8137451E+2
4.8702069E+2	-2.9497229E+2
4.8802078E+2	-2.7099387E+2
4.8902090E+2	-2.9989044E+2
4.9002100E+2	-2.9833524E+2
4.9102109E+2	-2.7102713E+2
4.9202121E+2	-3.0428320E+2
4.9302130E+2	-2.5856387E+2
4.9402139E+2	-2.9382175E+2
4.9502148E+2	-2.8361667E+2
4.9602161E+2	-3.1322464E+2
4.9702170E+2	-3.4572601E+2
4.9802179E+2	-2.9764038E+2
4.9902191E+2	-3.4318445E+2
5.0002200E+2	-3.1976257E+2
5.0102209E+2	-3.2583856E+2
5.0202219E+2	-2.9735172E+2
5.0302231E+2	-3.3361856E+2
5.0402139E+2	-2.6580685E+2
5.0502148E+2	-3.1009708E+2
5.0602161E+2	-2.9566702E+2
5.0702170E+2	-3.3109854E+2
5.0802179E+2	-3.1111121E+2
5.0902191E+2	-3.1262851E+2
5.1002200E+2	-3.5295193E+2
5.1102209E+2	-3.2507452E+2
5.1202222E+2	-3.3310553E+2
5.1302228E+2	-3.5989359E+2
5.1402240E+2	-3.6225961E+2
5.1502649E+2	-3.0276340E+2
5.1602258E+2	-3.6670999E+2
5.1702271E+2	-3.6765460E+2
5.1802283E+2	-3.5374384E+2
5.1902490E+2	-3.1479477E+2
5.2002301E+2	-3.2440308E+2
5.2102209E+2	-3.2526932E+2
5.2202222E+2	-3.3381863E+2
5.2302228E+2	-3.0341156E+2
5.2402240E+2	-3.0844968E+2
5.2502252E+2	-3.5462048E+2
5.2602258E+2	-3.5960669E+2
5.2702271E+2	-3.4314331E+2
5.2802283E+2	-3.5414624E+2
5.2902588E+2	-3.3041663E+2
5.3002301E+2	-3.4989496E+2
5.3102411E+2	-3.3403342E+2
5.3202319E+2	-3.3695947E+2
5.3302527E+2	-3.3602402E+2
5.3402338E+2	-3.0898639E+2
5.3502753E+2	-3.2532193E+2
5.3602362E+2	-3.5238318E+2
5.3702570E+2	-3.0546783E+2
5.3802283E+2	-3.5616550E+2
5.3902289E+2	-3.4207520E+2
5.4002301E+2	-3.3279199E+2
5.4102509E+2	-3.5026672E+2
5.4202319E+2	-3.1770789E+2
5.4302429E+2	-3.6809763E+2
5.4402338E+2	-3.3693533E+2
5.4502551E+2	-3.6218793E+2
5.4602362E+2	-3.5300665E+2
5.4702667E+2	-3.6565576E+2
5.4802380E+2	-3.6557669E+2
5.4902490E+2	-3.5864429E+2
5.5002399E+2	-3.4963660E+2
5.5102710E+2	-3.6737097E+2
5.5202417E+2	-3.6082315E+2
5.5302728E+2	-3.4065231E+2
5.5402441E+2	-3.9266275E+2
5.5502753E+2	-3.5077313E+2
5.5602362E+2	-3.3686447E+2
5.5702472E+2	-3.4017422E+2
5.5802380E+2	-3.7111026E+2
5.5902588E+2	-4.0135449E+2
5.6002399E+2	-3.7076181E+2
5.6102509E+2	-3.5765152E+2
5.6202417E+2	-4.0895871E+2
5.6302527E+2	-3.6872131E+2
5.6402441E+2	-3.6281055E+2
5.6502551E+2	-4.1507196E+2
5.6602460E+2	-3.9924069E+2
5.6702570E+2	-3.6933801E+2
5.6802478E+2	-4.0130411E+2
5.6902692E+2	-4.3099686E+2
5.7002502E+2	-4.0633432E+2
5.7102612E+2	-3.6264890E+2
5.7202521E+2	-3.5326196E+2
5.7302631E+2	-3.7801767E+2
5.7402441E+2	-3.7177402E+2
5.7502649E+2	-3.6648358E+2
5.7602460E+2	-3.6284760E+2
5.7702570E+2	-3.7603009E+2
5.7802478E+2	-3.6059921E+2
5.7902588E+2	-3.7354541E+2
5.8002502E+2	-3.7174414E+2
5.8102612E+2	-3.3453427E+2
5.8202521E+2	-3.6531897E+2
5.8302631E+2	-3.8121909E+2
5.8402539E+2	-3.7962259E+2
5.8502551E+2	-3.9206903E+2
5.8602557E+2	-4.3036911E+2
5.8702570E+2	-3.9206812E+2
5.8802582E+2	-4.0428195E+2
5.8902692E+2	-3.7232187E+2
5.9002600E+2	-3.8897424E+2
5.9102612E+2	-4.0979962E+2
5.9202521E+2	-3.9801160E+2
5.9302832E+2	-4.0986530E+2
5.9402539E+2	-4.2107852E+2
5.9502850E+2	-3.8905685E+2
5.9602557E+2	-4.1540805E+2
5.9702667E+2	-3.8707037E+2
5.9802582E+2	-4.1642993E+2
5.9902692E+2	-3.7591888E+2
6.0002600E+2	-3.7383206E+2
6.0102612E+2	-3.9163141E+2
6.0202618E+2	-3.8005780E+2
6.0302631E+2	-3.5179434E+2
6.0402637E+2	-3.6782834E+2
